album,singer,singerGender,releaseDate,price,songNumber,totalSales,QQ,WYY,KUGOU,KUWO,MIGU
我要我们在一起,李权哲,male,2020/1/22,3,1,286188,0,285759,0,0,429
夏日季风,吴季峰,male,2019/9/19,5,3,279375,267810,0,10915,650,0
100,SuperM,male,2020/8/14,3,1,278247,255123,0,21948,1176,0
飞行模式,陈意涵Estelle,female,2020/6/11,6,4,274740,261544,0,8424,2114,2658
TAKE ME,SNH48,female,2020/9/16,12,12,271884,0,267108,0,0,4776
Dynamite (NightTime Version),BTS (防弹少年团),male,2020/9/18,9,6,268542,0,268542,0,0,0
CHA CHA CHA,新风暴,male,2019/5/27,5,2,265255,0,265255,0,0,0
老虎 (Tiger Inside),SuperM,male,2020/9/1,3,1,263997,242031,0,20880,1086,0
日月,汪苏泷,male,2019/4/22,3,1,260754,154488,0,100107,6159,0
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift / Brendon Urie,female,2019/4/26,2,1,251296,0,239350,0,0,11946
火焰小溪,林宥嘉,male,2018/8/5,3,2,250878,0,250878,0,0,0
过海,痛仰乐队,male,2019/12/16,10,10,247270,76490,158390,10970,1010,410
The Beatles (Remastered),The Beatles,male,1968/11/22,40,30,242050,63920,171480,5002,1648,0
新大陆,布瑞吉Bridge,male,2018/10/22,1,16,241347,0,241347,0,0,0
青云不坠,小坠,male,2019/2/16,15,8,236940,0,236940,0,0,0
Rubber Soul (Remastered),The Beatles,male,1965/12/3,22,14,236800,43414,180290,10556,758,1782
迟爱,郁可唯,female,2019/4/24,3,1,230919,97701,0,127605,5613,0
校园寓言故事,AR（刘夫阳）,male,2019/1/11,9.99,11,228940.83,0,228940.83,0,0,0
The Beatles 1967 - 1970 (Remastered),The Beatles,male,1973/4/2,40,28,225606,86080,84840,52684,1362,640
IN THE SUMMER,嵐,male,2020/7/23,3,1,223350,104445,113466,4959,261,219
十万个为什么,惘闻,male,2020/9/24,18,8,219816,0,219816,0,0,0
四火,田燚,male,2018/8/3,5,2,213970,194000,0,19970,0,0
无间,鬼卞,male,2019/4/13,10,10,212430,0,212430,0,0,0
Help! (Remastered),The Beatles,male,1965/8/6,22,14,210080,41426,159016,8854,784,0
wow,李子璇,female,2020/11/12,5,2,208375,0,208375,0,0,0
创使者世界巡回演唱会 LIVE,潘玮柏,male,2020/6/5,25,20,205825,0,205825,0,0,0
WINNER THE BEST "SONG 4 U",WINNER,male,2020/2/12,15,35,202215,0,201915,0,0,300
LRY18,刘人语,female,2019/10/10,9,6,201771,185859,0,13140,2772,0
安好 (Hello),CHEN,male,2020/10/15,3,1,198777,172284,0,25482,1011,0
二十一,黄新淳,male,2019/5/21,3,3,191880,0,191091,0,0,789
THE DREAM SHOW - The 1st Live Album,NCT DREAM,male,2020/6/9,25,22,190375,180825,0,9025,525,0
Never Gonna Dance Again : Act 2 - The 3rd Album,泰民,male,2020/11/9,18,9,185562,166284,0,16992,2286,0
Make It Right (EDM Remix),BTS (防弹少年团) / Lauv,male,2019/11/1,3,1,183684,0,183684,0,0,0
WANT - The 2nd Mini Album,泰民,male,2019/2/11,15,7,182315,151841,0,25644,4830,0
CHANGE,BOY STORY,male,2020/6/1,3,1,181863,154869,0,14622,12372,0
落霞集,上海彩虹室内合唱团,male,2019/6/30,18,7,180145,45754,123012,9624,747,1008
My Love,NEXT,male,2020/9/30,3,1,175368,0,174429,0,0,939
回:Song of the Sirens,GFRIEND,female,2020/7/13,12,6,175308,0,175308,0,0,0
Circle,丁泽仁,male,2020/11/19,3,1,173898,0,173838,0,0,60
